u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,tunnel,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,junction,width,access,est_width,service,Groups
635182,635181,0,27846537,motorway,3,90,PÃÂÃÂ©riphÃÂÃÂ©rique ExtÃÂÃÂ©rieur - Autoroute des Deux Mers,True,A 61,False,676.1213935100947,,"LINESTRING (1.494197 43.591136, 1.4941742 43.5912086, 1.4941446 43.5913242, 1.494032 43.5918166, 1.4939475 43.5921974, 1.4938121 43.5929453, 1.4937396 43.5933999, 1.4936981 43.5937039, 1.4936471 43.5940283, 1.4936015 43.5943362, 1.4935411 43.5947529, 1.4935036 43.5950821, 1.4934325 43.5954969, 1.4933829 43.59573, 1.4933373 43.5959427, 1.4932904 43.5961321, 1.4932153 43.5963807, 1.4931522 43.5965682, 1.4930597 43.596811, 1.492915 43.5971344)",7887.957681148739,29.6279019810128,0.0004874613877897,,,,,,,C
635182,1184733227,0,144568531,motorway_link,2,,Lasbordes,True,17,False,281.5153905039845,,"LINESTRING (1.494197 43.591136, 1.4942686 43.5912257, 1.4942197 43.5914577, 1.4941809 43.5916602, 1.4941581 43.5918647, 1.4941514 43.5920114, 1.4941488 43.5921839, 1.49415 43.5923591, 1.4941791 43.5927595, 1.494191 43.5929622, 1.4941974 43.5931537, 1.4941984 43.5933179, 1.4941796 43.5934849, 1.4941577 43.5936463)",4852.503215631249,23.56022741632259,0.0010787510084273,,,,,,,C
636551,2123636223,0,991717481,tertiary,2,30,Avenue de Rangueil,False,,True,11.960963929788551,,"LINESTRING (1.4611224 43.5723215, 1.4612363 43.5722525)",11.960963929788551,1.213589631079875,0.0041524093189985,,,,,,,C
636551,239954949,0,"[32350631, 150331711]",tertiary,2,30,Avenue de Rangueil,False,,False,103.21770221099456,,"LINESTRING (1.4611224 43.5723215, 1.4609978 43.5723977, 1.4608428 43.5724921, 1.4607935 43.5725299, 1.4607519 43.5725591, 1.4602428 43.5728781, 1.4601574 43.5729316)",103.21770221099456,1.6289943584950564,0.0046578705797711,,,,,,,C
636647,161620015,0,"[32045697, 4612218]",residential,,30,Avenue du Lauragais,False,,True,217.71885926449949,,"LINESTRING (1.4578321 43.5783193, 1.4579388 43.5782292, 1.4579685 43.5782055, 1.4582473 43.5779834, 1.4584123 43.5778649, 1.4586617 43.5776813, 1.4591888 43.5772693, 1.4593336 43.5771343, 1.4594141 43.5770648, 1.4595871 43.576923, 1.4596216 43.5768938, 1.4596486 43.576871)",217.71885926449949,1.6609064782093208,0.0017340208672403,,,,,,,C
636647,166012454,0,184760047,tertiary,2,30,Avenue Albert Bedouce,False,,True,81.2172296383525,,"LINESTRING (1.4578321 43.5783193, 1.4577325 43.5782523, 1.4577115 43.5782385, 1.4571076 43.5778114)",81.2172296383525,1.68895880326879,0.0015586400358587,,,,,,,C
636647,369759899,0,"[387184643, 387184648, 387184680, 326764023, 387184664]",tertiary,2,30,Avenue Albert Bedouce,False,,False,92.76144782619694,,"LINESTRING (1.4578321 43.5783193, 1.4579482 43.5783924, 1.4579687 43.5784062, 1.4582392 43.578593, 1.4583282 43.5786554, 1.4583844 43.5786949, 1.4585793 43.5788317, 1.4586313 43.5788682, 1.458668 43.5788929)",92.76144782619694,1.9412555585615383,0.0008976598725132,,,,,,,C
636647,239954802,0,326764025,residential,,30,Avenue du Lauragais,False,,False,96.93142397722684,,"LINESTRING (1.4578321 43.5783193, 1.4577376 43.5783971, 1.4576996 43.5784243, 1.4570722 43.5789129, 1.4570145 43.5789588)",96.93142397722684,1.7129620143402533,0.0017750109228194,,,,,,,C
644015,240719974,0,"[4612555, 189537333]",secondary,2,30,Grande Rue Saint-Michel,True,,False,240.6423455373846,,"LINESTRING (1.4469916 43.5866477, 1.4469584 43.5867204, 1.4468948 43.586867, 1.4468301 43.5870161, 1.446814 43.5870577, 1.4466201 43.5875591, 1.4465149 43.5878309, 1.4464684 43.5879512, 1.4464147 43.58809, 1.4462871 43.5884198, 1.446203 43.5886372, 1.446168 43.5887278)",667.3128840706014,10.481654177641726,0.0172501596526665,,,,,,,C
644015,240719990,0,204002484,secondary,2,30,Grande Rue Saint-Michel,False,,True,33.00014560473856,,"LINESTRING (1.4469916 43.5866477, 1.4470959 43.5863863, 1.4471054 43.5863626)",33.00014560473856,1.5483286307176316,0.0008259831369245,,,,,,,C
644018,240717117,0,"[219699545, 158060476]",tertiary,1,30,"['Place Auguste Lafourcade', 'Rue Achille Viadieu']",True,,False,45.72689458717417,,"LINESTRING (1.4446211 43.5920795, 1.444552 43.5920207, 1.4445184 43.5919921, 1.4444694 43.5919011, 1.4444413 43.5918401, 1.4444339 43.5917973, 1.4444411 43.5917061)",488.0496681471808,8.994229045534349,0.0004454534083591,,,,,,,C
644018,361545536,0,"[235746889, 235746891, 255914957]",secondary,"['2', '3']",30,"['Place Auguste Lafourcade', 'Espace Jean-ÃÂÃÂtienne Duranti']",True,,False,105.05567677619374,,"LINESTRING (1.4446211 43.5920795, 1.4445997 43.5922098, 1.4445775 43.5923452, 1.4445627 43.5924351, 1.4445596 43.5924543, 1.4445335 43.5926014, 1.4445289 43.5926295, 1.4445221 43.5926714, 1.444504 43.5927829, 1.4444989 43.5928146, 1.4444971 43.5928256, 1.4444836 43.5928756, 1.4444663 43.5929224, 1.4444384 43.5930141)",1478.835666035118,26.609703404238648,0.0184909095179405,,,,,,,C
644021,338518436,0,"[50556002, 8060811]",secondary,4,50,Pont du Garigliano,False,,True,154.5340490708741,,"LINESTRING (1.4393052 43.5841026, 1.4378065 43.5841743, 1.4375574 43.5841857, 1.4373907 43.5841933)",154.5340490708741,2.105942069489103,0.0333941588351495,yes,,,,,,C
644021,1654950578,0,"[8060820, 899563542]",primary_link,,50,Avenue du MarÃÂÃÂ©chal de Lattre de Tassigny,True,,False,202.1437235966208,,"LINESTRING (1.4393052 43.5841026, 1.4393349 43.5840335, 1.4393422 43.5840178, 1.43938 43.5839308, 1.4393585 43.5837936, 1.439241 43.5833017, 1.4392321 43.5832438, 1.4391177 43.5828781, 1.4389731 43.5823206)",503.75933685180496,8.28182704657462,0.0018888197748938,yes,,,,,,C
644021,338468175,0,43365405,secondary,4,50,Boulevard des RÃÂÃÂ©collets,False,,False,39.568093858777125,,"LINESTRING (1.4393052 43.5841026, 1.4395742 43.5840882, 1.439795 43.5840753)",39.568093858777125,1.7863760999586602,0.0321339442796428,yes,,,,,,C
644022,1378762207,0,2304963,secondary,2,50,Boulevard des RÃÂÃÂ©collets,False,,False,62.580028678577605,,"LINESTRING (1.444174 43.5839023, 1.4444045 43.5839348, 1.4444369 43.5839392, 1.4449372 43.5840077)",62.5800286785776,1.5834517350946111,0.0320501021126587,,,,,,,C
644022,2278453392,0,30615194,secondary,4,50,Boulevard des RÃÂÃÂ©collets,False,,False,26.96887591432885,,"LINESTRING (1.444174 43.5839023, 1.4440435 43.5838933, 1.443951 43.5838869, 1.4439295 43.5838868, 1.4439204 43.5838867, 1.4438814 43.5838864, 1.4438402 43.5838871)",26.96887591432886,1.7800897990945097,0.0326998851136382,,,,,,,C
644022,1378762597,0,"[123721608, 150479057, 961215761]",tertiary,"['1', '3']",30,Rue du Feretra,False,,True,121.34741490888,,"LINESTRING (1.444174 43.5839023, 1.4441611 43.5837905, 1.4441584 43.5837667, 1.4441556 43.5837425, 1.4441612 43.583552, 1.4441629 43.5834684, 1.4441133 43.5829415, 1.4441104 43.5829072, 1.4441042 43.582813)",121.34741490887998,1.5783940680452204,0.0097342071721325,,,,,,,C
644046,1360357012,0,"[231667194, 36729579, 31859947, 31859871]",primary,2,50,"['Boulevard du MarÃÂÃÂ©chal Juin', 'Avenue du MarÃÂÃÂ©chal de Lattre de Tassigny']",True,,False,459.6606095288681,,"LINESTRING (1.439102 43.5823884, 1.4391686 43.5825484, 1.4392405 43.582745, 1.4393272 43.5829933, 1.4394694 43.583506, 1.4395954 43.5841006, 1.4396548 43.5844453, 1.4396697 43.5846331, 1.4396729 43.5848621, 1.4396393 43.5851694, 1.4395893 43.5854213, 1.4395295 43.586027, 1.4395027 43.5862859, 1.4394661 43.5864726)",1174.8813059496583,11.478825885447486,0.0049338024257472,,,,,,,C
644046,338468175,0,"[30609898, 899563543]",primary_link,,50,Avenue du MarÃÂÃÂ©chal de Lattre de Tassigny,True,,False,198.1392965556184,,"LINESTRING (1.439102 43.5823884, 1.4391995 43.582464, 1.4393526 43.5828185, 1.4393816 43.5828888, 1.4394114 43.5829745, 1.439477 43.5832472, 1.4395655 43.5835843, 1.4396261 43.5838416, 1.4396512 43.5838894, 1.4397102 43.5839634, 1.4397246 43.5839839, 1.4397332 43.5839968, 1.4397471 43.5840145, 1.439795 43.5840753)",507.7637638928073,8.142674793262051,0.0023717129190575,yes,,,,,,C
644057,1372205400,0,99340612,primary,2,30,Square Boulingrin,True,,False,58.75610663357713,,"LINESTRING (1.453076 43.5948257, 1.453255 43.5948646, 1.4533885 43.5949058, 1.4534844 43.5949432, 1.4536053 43.5950103, 1.4537015 43.5950803)",630.3520161591698,15.034337901493572,0.062250711069465,,,,,,,C
644071,361148751,0,123825402,tertiary,2,30,Avenue Maurice Hauriou,False,,False,61.15979459180981,,"LINESTRING (1.4429452 43.5932472, 1.4430558 43.5932048, 1.4434334 43.5930566, 1.4435223 43.5930305, 1.4436277 43.5930107)",61.15979459180981,1.5073891380511482,0.0003198763634655,,,,,,,C
644071,1551310328,0,"[452945390, 452945391, 218614836, 256753301, 218614837, 123825403]",tertiary,2,30,Rue de la ChaussÃÂÃÂ©e,False,,False,215.05149055728583,,"LINESTRING (1.4429452 43.5932472, 1.442913 43.5932127, 1.4428574 43.5931531, 1.4427609 43.5930497, 1.4423243 43.5925819, 1.4422707 43.5925244, 1.4422241 43.5924751, 1.4420721 43.5923111, 1.4415797 43.5918, 1.4415368 43.5917242, 1.4415167 43.5916651, 1.441504 43.5916279)",215.05149055728583,1.5397650231088271,0.016157753568183,,,,,,,C
644071,241771520,0,645070994,tertiary,2,30,Avenue Maurice Hauriou,False,,True,37.30055440695777,,"LINESTRING (1.4429452 43.5932472, 1.4427704 43.5933188, 1.4425948 43.5934025, 1.4425512 43.5934232)",37.30055440695777,1.514091054062616,0.0016209816649073,,,,,,,C
646939,2319610770,0,835586843,residential,,30,Rue Maria Mombiola,False,,True,7.865571112841479,,"LINESTRING (1.4369121 43.5789943, 1.4368231 43.5790234)",7.865571112841479,1.5681301012036648,3.922730939735879e-05,,,,,,,C
646939,3980380660,0,"[835586841, 59648370, 835586843, 59961133]",residential,,30,Rue Maria Mombiola,False,,"[False, True]",249.66037492493743,,"LINESTRING (1.4369121 43.5789943, 1.4370036 43.5789636, 1.4370384 43.5789533, 1.4370735 43.5789429, 1.4372827 43.57887, 1.4376513 43.5787415, 1.4381536 43.5785673, 1.4386021 43.5784125, 1.4386304 43.5784024, 1.4389986 43.5782736, 1.4393442 43.5781558, 1.4396492 43.5780476, 1.4397086 43.5780266)",249.66037492493743,1.7234464482935552,1.92412435335146e-05,,,,,,,C
646939,7220901634,0,961215758,primary,1,50,Avenue du MarÃÂÃÂ©chal de Lattre de Tassigny,True,,False,154.47951403271887,,"LINESTRING (1.4369121 43.5789943, 1.4369789 43.5791171, 1.4371055 43.5793965, 1.4372735 43.5796784, 1.4373551 43.5798154, 1.4376348 43.5801987, 1.437687 43.5802616)",426.1775109112575,6.412452401487745,0.0044920731290398,,,,,,,C
646941,2319610765,0,2306257,tertiary,,30,AllÃÂÃÂ©e Henri Sellier,False,,False,10.352872405698273,,"LINESTRING (1.4364312 43.5773649, 1.4363035 43.5773754)",10.352872405698273,1.8120877967303084,0.00199555281483,,,,,,,C
646941,646939,0,"[961215754, 961215758]",primary,"['2', '1']",50,Avenue du MarÃÂÃÂ©chal de Lattre de Tassigny,True,,False,185.57550558459425,,"LINESTRING (1.4364312 43.5773649, 1.4364571 43.5774929, 1.4365001 43.5776902, 1.4365327 43.5778275, 1.4366175 43.5781851, 1.4366576 43.5783363, 1.4367127 43.5785019, 1.43677 43.5786646, 1.436833 43.578819, 1.4368457 43.5788472, 1.4369121 43.5789943)",206.41883326050169,4.978047175226649,0.0039234261072441,,,,,,,C
646941,240695521,0,961215755,tertiary,,30,AllÃÂÃÂ©e Henri Sellier,False,,True,16.8737726124398,,"LINESTRING (1.4364312 43.5773649, 1.4365036 43.577359, 1.4366395 43.5773489)",16.8737726124398,1.419655462648763,0.0001263715220459,,,,,,,C
646948,340444398,0,4612445,secondary,1,50,Avenue du MarÃÂÃÂ©chal de Lattre de Tassigny,True,,False,28.582323278145733,,"LINESTRING (1.4388151 43.5718188, 1.4386433 43.5720437)",36.140383738760384,2.890627474472693,0.0017294029687922,,,,,,,C
646948,2172117622,0,30787020,tertiary,,,Chemin des ÃÂÃÂtroits,True,M 4,False,34.916900024652506,,"LINESTRING (1.4388151 43.5718188, 1.4389211 43.5718441, 1.4389816 43.5718925, 1.4390154 43.5719459, 1.4390796 43.5720446)",143.55471120686158,6.051715952073101,0.0005882606764943,,,,,,,C
647888,347443531,0,616124365,secondary,2,30,Rond-Point Pierre Bourthoumieux,True,,False,22.21906981994832,,"LINESTRING (1.4283383 43.584984, 1.4284042 43.5850152, 1.4284439 43.5850507, 1.4284577 43.585077, 1.4284674 43.5851124, 1.4284642 43.5851452)",65.10322557065079,9.22518587655714,0.0319767371131212,,roundabout,,,,,C
647888,347443458,0,"[2304962, 899424719]",secondary,2,30,Pont de la Croix de Pierre,True,,False,69.02991177742858,,"LINESTRING (1.4283383 43.584984, 1.4284143 43.584957, 1.4284904 43.5849381, 1.4285353 43.5849294, 1.4285513 43.5849258, 1.4288569 43.5848647, 1.4289831 43.5848436, 1.429165 43.5848365)",131.35154894518587,10.462296203084376,0.0322205671166601,yes,,,,,,C
648229,10307238364,0,31065653,other,1,30,Chemin de la Loge,False,,False,235.73835540871283,,"LINESTRING (1.4362578 43.5707124, 1.4364678 43.5707819, 1.4366428 43.5708426, 1.4368064 43.5709116, 1.4369217 43.5709733, 1.4369881 43.5710326, 1.4370498 43.5711336, 1.4370558 43.5711851, 1.4370478 43.5712308, 1.4370169 43.5712959, 1.4369626 43.5713717, 1.4368647 43.5714718, 1.4360319 43.5721641, 1.4359472 43.5722318)",235.73835540871283,1.1738579890794412,1.986192880878926e-07,,,,,,,C
648229,10140281027,0,1127321050,other,,,Chemin de la Loge,True,M 4d,False,10.127890979538114,,"LINESTRING (1.4362578 43.5707124, 1.4362538 43.5707245, 1.4362431 43.5707343, 1.4362277 43.5707399, 1.4362031 43.5707388, 1.436184 43.5707274, 1.4361778 43.5707101)",9.893392525009956,1.174371955300559,0.0011113742264958,,roundabout,,,,,C
648255,8138457,0,"[499640599, 223061351]",motorway_link,1,,,True,,False,66.19878422509993,,"LINESTRING (1.437974 43.5737907, 1.4379909 43.573717, 1.4379941 43.5736375, 1.4379772 43.5735703, 1.4379224 43.5734616, 1.437837 43.5733752, 1.4377739 43.5732315)",3996.176359459316,27.88040890613892,0.0023566178531628,,,,,,,C
648269,427969017,0,"[35953798, 4612238, 149950691]",residential,,30,Chemin de la Loge,True,,False,384.2107865622903,,"LINESTRING (1.434362 43.5774806, 1.4343334 43.5773695, 1.4343546 43.5770207, 1.4343717 43.5767004, 1.4344125 43.5765015, 1.4344362 43.5762503, 1.4344366 43.5760771, 1.4344488 43.5758079, 1.4344672 43.5756832, 1.4344807 43.5756013, 1.4345227 43.5754172, 1.4345521 43.5751982, 1.4345529 43.5750735, 1.4345223 43.5748607, 1.43451 43.5745956, 1.4345149 43.5744718, 1.4345215 43.5744106, 1.4345284 43.5743601, 1.4345327 43.5743319, 1.4345651 43.5741772, 1.4346124 43.5740436)",383.66072988017146,1.3605730930544864,0.0011113742264958,yes,,,,,,C
648318,2186042137,0,30594887,secondary_link,,30,AllÃÂÃÂ©e Jacques Lacassagne,True,,False,70.77614148470214,,"LINESTRING (1.4378433 43.585682, 1.4375741 43.5850761)",151.50195432404047,7.014740768765264,0.0013702744685183,yes,,,,,,C
648394,338171795,0,30594901,residential,1,30,AllÃÂÃÂ©e du Professeur Camille Soula,True,,False,138.93577139873994,,"LINESTRING (1.436859 43.5878117, 1.4369042 43.587689, 1.4376247 43.5868759, 1.4376322 43.5868065, 1.437599 43.5867232)",225.36167422155287,3.61702174015942,0.0008108632436188,,,,,,,C
648394,347444405,0,150175296,residential,1,30,Avenue du Grand Ramier,False,,True,68.95967662449415,,"LINESTRING (1.436859 43.5878117, 1.4367389 43.5880678, 1.4367602 43.5881893, 1.4368853 43.5883042, 1.4369721 43.5883551)",68.95967662449415,1.6357663492397845,0.003276895497107,,,,,,,C
648442,11176878997,0,616124759,primary,,30,Rond-Point de Catalogne,True,,False,17.114392468433167,,"LINESTRING (1.4347698 43.5928755, 1.4347266 43.5928979, 1.4346782 43.5929137, 1.4346264 43.5929224, 1.4345733 43.5929234)",118.59921746643226,10.545635054667514,0.0550093000998906,,roundabout,,,,,C
648442,243755303,0,849942720,residential,,20,Rue Charles Laganne,True,,False,152.09975458046728,,"LINESTRING (1.4347698 43.5928755, 1.4347505 43.5929356, 1.4347438 43.5929808, 1.4347451 43.5930133, 1.4347538 43.5930449, 1.4347719 43.5930992, 1.4348035 43.5931872, 1.4352199 43.5941921)",1390.6301952611605,30.70476005835373,0.0009122087353656,,,,,,,C
648451,54541206,0,"[636520434, 224996363, 195830687]",primary,2,50,AllÃÂÃÂ©es Charles de Fitte,True,,False,123.5136606481644,,"LINESTRING (1.4328439 43.5951474, 1.4325772 43.5954989, 1.4325186 43.5955761, 1.4324632 43.5956463, 1.4323456 43.5958029, 1.4323088 43.5958543, 1.4322473 43.5959721, 1.4322458 43.5959742, 1.4322307 43.5959954, 1.432216 43.596016, 1.432134 43.5961308)",284.6132299159989,4.748878219990953,0.0244292786480143,,,,,,,C
648547,2112493859,0,1247575726,primary,,50,Rond-Point Jane AtchÃÂÃÂ©,False,,True,8.760097954242132,,"LINESTRING (1.430659 43.5977489, 1.4306403 43.5977714, 1.4306279 43.5977961, 1.4306221 43.597822)",8.760097954242132,1.2055633055398116,0.0046120391790449,,circular,,,,,C
648547,57199377,0,1247575733,primary,,50,Rond-Point Jane AtchÃÂÃÂ©,False,,False,13.918704407628852,,"LINESTRING (1.430659 43.5977489, 1.4306885 43.597726, 1.4307244 43.5977086, 1.4307648 43.5976975, 1.4308076 43.5976933)",13.918704407628852,1.63715711643829,0.0187141824251623,,circular,,,,,C
701753,241777944,0,4612474,primary,1,30,AllÃÂÃÂ©es Forain FranÃÂÃÂ§ois Verdier,False,,False,44.78407411030976,,"LINESTRING (1.4527615 43.5966583, 1.4527507 43.5967225, 1.4527217 43.5967642, 1.4527094 43.596793, 1.4527069 43.5968252, 1.4526998 43.5968543, 1.4526731 43.5970528)",44.78407411030975,1.51286162502632,0.0080860891469902,,,,,,,C
701753,3845288375,0,99654613,primary,2,30,Square Boulingrin,True,,False,63.29339015115213,,"LINESTRING (1.4527615 43.5966583, 1.4526823 43.5966718, 1.4525997 43.5966818, 1.4524992 43.5966863, 1.4524296 43.5966898, 1.4521814 43.5966842, 1.4519821 43.59666)",625.8147326415949,15.015944449393274,0.0422373102260977,,,,,,,C
701760,9926534,0,27800118,primary,3,30,Rue des FrÃÂÃÂ¨res Lion,False,,True,83.56669093938449,,"LINESTRING (1.4522048 43.6003514, 1.4524263 43.6002961, 1.452451 43.6002901, 1.4524975 43.6002783, 1.4531896 43.6001144)",83.5666909393845,1.5263408847579494,0.027312063822733,,,,,,,C
701760,333119460,0,51206331,primary,3,30,AllÃÂÃÂ©es Forain FranÃÂÃÂ§ois Verdier,False,,True,52.49780815268353,,"LINESTRING (1.4522048 43.6003514, 1.4522552 43.6002217, 1.4522633 43.6002027, 1.452276 43.6001681, 1.4523199 43.5998882)",52.49780815268355,1.3740528015660922,0.0349528236984192,,,,,,,C
701760,3870855530,0,1171602878,primary,2,30,Boulevard Lazare Carnot,False,,False,17.288429207275,,"LINESTRING (1.4522048 43.6003514, 1.4521598 43.6004495, 1.4521444 43.6005004)",17.288429207275,1.5469650669772184,0.0079175110262256,,,,,,,C
701786,240309122,0,31898268,secondary,2,50,Avenue Crampel,False,,False,18.85656665648069,,"LINESTRING (1.4596716 43.5873454, 1.4594713 43.5872576)",18.85656665648069,1.5762377993949983,0.0426005104217774,,,,,,,C
701786,270157885,0,31898266,secondary,2,50,Avenue Crampel,True,,False,48.96760335870465,,"LINESTRING (1.4596716 43.5873454, 1.4598801 43.5874072, 1.4599956 43.587463, 1.4600276 43.5874816, 1.4600628 43.5874985, 1.4600925 43.5875144, 1.4601919 43.5875677)",168.90224320489813,10.25527401176492,0.0378548997714934,,,,,,,C
